// Вміст цього файлу націлений на використання в "*.rulePack.rulesStrings".

// Використання: 
//    <li>TalkTopicLight->[Animal]</li> -> <li>TalkTopicLight->{lookup: [Animal]; Rules; 1-12}}</li>
// Множина починається з 6-го індексу.
// Індекс 0 використовується для пошуку рядка. Його не потрібно використовувати.


// 0              ; 1             ; 2               ; 3               ; 4             ; 5              ; 6               ; 7              ;  8               ; 9                ; 10             ; 11              ;
// Називний однина; Родовий однина; Давальний однина; Знахідний однина; Орудний однина; Місцевий однина; Називний множина; Родовий множина; Давальний множина; Знахідний множина; Орудний множина; Місцевий множина;


// [Animals]
// 0            ; 1                ; 2                  ; 3                ; 4                ; 5                  ; 6              ; 7                ; 8                ; 9                ; 10                 ; 11               ;
броненосець     ; броненосця       ; броненосцю         ; броненосця       ; броненосцем      ; броненосцю         ; броненосці     ; броненосців      ; броненосцям      ; броненосців      ; броненосцями       ; броненосцях      ;
віслюк          ; віслюка          ; віслюку            ; віслюка          ; віслюком         ; віслюку            ; віслюки        ; віслюків         ; віслюкам         ; віслюків         ; віслюками          ; віслюках         ;
бабуїн          ; бабуїна          ; бабуїну            ; бабуїна          ; бабуїном         ; бабуїні            ; бабуїни        ; бабуїнів         ; бабуїнам         ; бабуїнів         ; бабуїнами          ; бабуїнах         ;
борсук          ; борсука          ; борсуку            ; борсука          ; борсуком         ; борсуку            ; борсуки        ; борсуків         ; борсукам         ; борсуків         ; борсуками          ; борсуках         ;
барракуда       ; барракуди        ; барракуді          ; барракуду        ; барракудою       ; барракуді          ; барракуди      ; барракуд         ; барракудам       ; барракуд         ; барракудами        ; барракудах       ;
кажан           ; кажана           ; кажану             ; кажана           ; кажаном          ; кажані             ; кажани         ; кажанів          ; кажанам          ; кажанів          ; кажанами           ; кажанах          ;
ведмідь         ; ведмедя          ; ведмедю            ; ведмедя          ; ведмедем         ; ведмеді            ; ведмеді        ; ведмедів         ; ведмедям         ; ведмедів         ; ведмедями          ; ведмедях         ;
бобер           ; бобра            ; бобру              ; бобра            ; бобром           ; бобрі              ; бобри          ; бобрів           ; бобрам           ; бобрів           ; бобрами            ; бобрах           ;
бджола          ; бджоли           ; бджолі             ; бджолу           ; бджолою          ; бджолі             ; бджоли         ; бджіл            ; бджолам          ; бджіл            ; бджолами           ; бджолах          ;
бізон           ; бізона           ; бізону             ; бізона           ; бізоном          ; бізоні             ; бізони         ; бізонів          ; бізонам          ; бізонів          ; бізонами           ; бізонах          ;
буйвол          ; буйвола          ; буйволу            ; буйвола          ; буйволом         ; буйволі            ; буйволи        ; буйволів         ; буйволам         ; буйволів         ; буйволами          ; буйволах         ;
верблюд         ; верблюда         ; верблюду           ; верблюда         ; верблюдом        ; верблюді           ; верблюди       ; верблюдів        ; верблюдам        ; верблюдів        ; верблюдами         ; верблюдах        ;
північний олень ; північного оленя ; північному оленю   ; північного оленя ; північним оленем ; північному олені   ; північні олені ; північних оленів ; північним оленям ; північних оленів ; північними оленями ; північних оленях ;
кіт             ; кота             ; котові             ; кота             ; котом            ; коті               ; коти           ; котів            ; котам            ; котів            ; котами             ; котах            ;
гусениця        ; гусениці         ; гусениці           ; гусеницю         ; гусеницею        ; гусениці           ; гусениці       ; гусениць         ; гусеницям        ; гусениць         ; гусеницями         ; гусеницях        ;
гепард          ; гепарда          ; гепарду            ; гепарда          ; гепардом         ; гепарді            ; гепарди        ; гепардів         ; гепардам         ; гепардів         ; гепардами          ; гепардах         ;
курча           ; курчати          ; курчаті            ; курча            ; курчам           ; курчаті            ; курчата        ; курчат           ; курчатам         ; курчат           ; курчатами          ; курчатах         ;
шимпанзе        ; шимпанзе         ; шимпанзеві         ; шимпанзе         ; шимпанзе         ; шимпанзеві         ; шимпанзе       ; шимпанзе         ; шимпанзе         ; шимпанзе         ; шимпанзе           ; шимпанзе         ;
шиншила         ; шиншили          ; шиншилі            ; шиншилу          ; шиншилою         ; шиншилі            ; шиншили        ; шиншил           ; шиншилам         ; шиншил           ; шиншилами          ; шиншилах         ;
молюск          ; молюска          ; молюску            ; молюска          ; молюском         ; молюску            ; молюски        ; молюсків         ; молюскам         ; молюсків         ; молюсками          ; молюсках         ;
тарган          ; таргана          ; таргану            ; таргана          ; тарганом         ; таргані            ; таргани        ; тарганів         ; тарганам         ; тарганів         ; тарганами          ; тарганах         ;
тріска          ; тріски           ; трісці             ; тріску           ; тріскою          ; трісці             ; тріски         ; трісок           ; тріскам          ; трісок           ; трісками           ; трісках          ;
кондор          ; кондора          ; кондору            ; кондора          ; кондором         ; кондорі            ; кондори        ; кондорів         ; кондорам         ; кондорів         ; кондорами          ; кондорах         ;
койот           ; койота           ; койоту             ; койота           ; койотом          ; койотові           ; койоти         ; койотів          ; койотам          ; койотів          ; койотами           ; койотах          ;
краб            ; краба            ; крабу              ; краба            ; крабом           ; крабі              ; краби          ; крабів           ; крабам           ; крабів           ; крабами            ; крабах           ;
журавель        ; журавля          ; журавлю            ; журавля          ; журавлем         ; журавлі            ; журавлі        ; журавлів         ; журавлям         ; журавлів         ; журавлями          ; журавлях         ;
крокодил        ; крокодила        ; крокодилу          ; крокодила        ; крокодилом       ; крокодилі          ; крокодили      ; крокодилів       ; крокодилам       ; крокодилів       ; крокодилами        ; крокодилах       ;
ворон           ; ворона           ; ворону             ; ворона           ; вороном          ; вороні             ; ворони         ; воронів          ; воронам          ; воронів          ; воронами           ; воронах          ;
динозавр        ; динозавра        ; динозавру          ; динозавра        ; динозавром       ; динозаврі          ; динозаври      ; динозаврів       ; динозаврам       ; динозаврів       ; динозаврами        ; динозаврах       ;
собака          ; собаки           ; собаці             ; собаку           ; собакою          ; собаці             ; собаки         ; собак            ; собакам          ; собак            ; собаками           ; собаках          ;
дельфін         ; дельфіна         ; дельфіну           ; дельфіна         ; дельфіном        ; дельфіні           ; дельфіни       ; дельфінів        ; дельфінам        ; дельфінів        ; дельфінами         ; дельфінах        ;
голуб           ; голуба           ; голубу             ; голуба           ; голубом          ; голубі             ; голуби         ; голубів          ; голубам          ; голубів          ; голубами           ; голубах          ;
орел            ; орла             ; орлу               ; орла             ; орлом            ; орлі               ; орли           ; орлів            ; орлам            ; орлів            ; орлами             ; орлах            ;
єхидна          ; єхидни           ; єхидні             ; єхидну           ; єхидною          ; єхидні             ; єхидни         ; єхидн            ; єхиднам          ; єхидн            ; єхиднами           ; єхиднах          ;
вугор           ; вугра            ; вугру              ; вугра            ; вугром           ; вугрі              ; вугри          ; вугрів           ; вуграм           ; вугрів           ; вуграми            ; вуграх           ;
слон            ; слона            ; слону              ; слона            ; слоном           ; слоні              ; слони          ; слонів           ; слонам           ; слонів           ; слонами            ; слонах           ;
лось            ; лося             ; лосю               ; лося             ; лосем            ; лосі               ; лосі           ; лосів            ; лосям            ; лосів            ; лосями             ; лосях            ;
ему             ; ему              ; ему                ; ему              ; ему              ; ему                ; ему            ; ему              ; ему              ; ему              ; ему                ; ему              ;
сокіл           ; сокола           ; соколу             ; сокола           ; соколом          ; соколі             ; соколи         ; соколів          ; соколам          ; соколів          ; соколами           ; соколах          ;
тхір            ; тхора            ; тхору              ; тхора            ; тхором           ; тхорі              ; тхори          ; тхорів           ; тхорам           ; тхорів           ; тхорами            ; тхорах           ;
зяблик          ; зяблика          ; зяблику            ; зяблика          ; зябликом         ; зябликові          ; зяблики        ; зябликів         ; зябликам         ; зябликів         ; зябликами          ; зябликах         ;
фламінго        ; фламінго         ; фламінгові         ; фламінго         ; фламінго         ; фламінгові         ; фламінго       ; фламінго         ; фламінго         ; фламінго         ; фламінго           ; фламінго         ;
лис             ; лиса             ; лису               ; лиса             ; лисом            ; лисі               ; лиси           ; лисів            ; лисам            ; лисів            ; лисами             ; лисах            ;
жаба            ; жаби             ; жабі               ; жабу             ; жабою            ; жабі               ; жаби           ; жаб              ; жабам            ; жаб              ; жабами             ; жабах            ;
газель          ; газелі           ; газелі             ; газель           ; газеллю          ; газелі             ; газелі         ; газелей          ; газелям          ; газелей          ; газелями           ; газелях          ;
піщанка         ; піщанки          ; піщанці            ; піщанку          ; піщанкою         ; піщанці            ; піщанки        ; піщанок          ; піщанкам         ; піщанок          ; піщанками          ; піщанках         ;
панда           ; панди            ; панді              ; панду            ; пандою           ; панді              ; панди          ; панд             ; пандам           ; панд             ; пандами            ; пандах           ;
жираф           ; жирафа           ; жирафу             ; жирафа           ; жирафом          ; жирафі             ; жирафи         ; жирафів          ; жирафам          ; жирафів          ; жирафами           ; жирафах          ;
мошка           ; мошки            ; мошці              ; мошку            ; мошкою           ; мошці              ; мошки          ; мошок            ; мошкам           ; мошок            ; мошками            ; мошках           ;
коза            ; кози             ; козі               ; козу             ; козою            ; козі               ; кози           ; кіз              ; козам            ; кіз              ; козами             ; козах            ;
гуска           ; гуски            ; гусці              ; гуску            ; гускою           ; гусці              ; гуски          ; гусок            ; гускам           ; гусок            ; гусками            ; гусках           ;
горила          ; горили           ; горилі             ; горилу           ; горилою          ; горилі             ; горили         ; горил            ; горилам          ; горил            ; горилами           ; горилах          ;
тетерев         ; тетерева         ; тетереву           ; тетерева         ; тетеревом        ; тетереві           ; тетереви       ; тетеревів        ; тетеревам        ; тетеревів        ; тетеревами         ; тетеревах        ;
коник           ; коника           ; конику             ; коника           ; коником          ; конику             ; коники         ; коників          ; коникам          ; коників          ; кониками           ; кониках          ;
тетерук         ; тетерука         ; тетеруку           ; тетерука         ; тетеруком        ; тетеруці           ; тетеруки       ; тетеруків        ; тетерукам        ; тетеруків        ; тетеруками         ; тетеруках        ;
морська свинка  ; морської свинки  ; морській свинці    ; морську свинку   ; морською свинкою ; морській свинці    ; морські свинки ; морських свинок  ; морським свинкам ; морських свинок  ; морськими свинками ; морських свинках ;
хом'ячок        ; хом'ячка         ; хом'ячкові         ; хом'ячка         ; хом'ячком        ; хом'ячкові         ; хом'ячки       ; хом'ячків        ; хом'ячкам        ; хом'ячків        ; хом'ячками         ; хом'ячках        ;
заєць           ; зайця            ; зайцю              ; зайця            ; зайцем           ; зайці              ; зайці          ; зайців           ; зайцям           ; зайців           ; зайцями            ; зайцях           ;
яструб          ; яструба          ; яструбу            ; яструба          ; яструбом         ; яструбі            ; яструби        ; яструбів         ; яструбам         ; яструбів         ; яструбами          ; яструбах         ;
їжак            ; їжака            ; їжакові            ; їжака            ; їжаком           ; їжакові            ; їжаки          ; їжаків           ; їжакам           ; їжаків           ; їжаками            ; їжаках           ;
чапля           ; чаплі            ; чаплі              ; чаплю            ; чаплею           ; чаплі              ; чаплі          ; чапель           ; чаплям           ; чапель           ; чаплями            ; чаплях           ;
оселедець       ; оселедця         ; оселедцю           ; оселедця         ; оселедцем        ; оселедці           ; оселедці       ; оселедців        ; оселедцям        ; оселедців        ; оселедцями         ; оселедцях        ;
гіпопотам       ; гіпопотама       ; гіпопотаму         ; гіпопотама       ; гіпопотамом      ; гіпопотамі         ; гіпопотами     ; гіпопотамів      ; гіпопотамам      ; гіпопотамів      ; гіпопотамами       ; гіпопотамах      ;
шершень         ; шершня           ; шершню             ; шершня           ; шершнем          ; шершні             ; шершні         ; шершнів          ; шершням          ; шершнів          ; шершнями           ; шершнях          ;
кінь            ; коня             ; коневі             ; коня             ; конем            ; коні               ; коні           ; коней            ; коням            ; коней            ; кіньми             ; конях            ;
людина          ; людини           ; людині             ; людину           ; людиною          ; людині             ; люди           ; людей            ; людям            ; людей            ; людьми             ; людях            ;
колібрі         ; колібрі          ; колібрі            ; колібрі          ; колібрі          ; колібрі            ; колібрі        ; колібрі          ; колібрі          ; колібрі          ; колібрі            ; колібрі          ;
гієна           ; гієни            ; гієні              ; гієну            ; гієною           ; гієні              ; гієни          ; гієн             ; гієнам           ; гієн             ; гієнами            ; гієнах           ;
ібіс            ; ібіса            ; ібісу              ; ібіса            ; ібісом           ; ібісі              ; ібіси          ; ібісів           ; ібісам           ; ібісів           ; ібісами            ; ібісах           ;
шакал           ; шакала           ; шакалу             ; шакала           ; шакалом          ; шакалі             ; шакали         ; шакалів          ; шакалам          ; шакалів          ; шакалами           ; шакалах          ;
ягуар           ; ягуара           ; ягуару             ; ягуара           ; ягуаром          ; ягуарі             ; ягуари         ; ягуарів          ; ягуарам          ; ягуарів          ; ягуарами           ; ягуарах          ;
сойка           ; сойки            ; сойці              ; сойку            ; сойкою           ; сойці              ; сойки          ; сойок            ; сойкам           ; сойок            ; сойками            ; сойках           ;
синя сойка      ; синьої сойки     ; синій сойці        ; синю сойку       ; синьою сойкою    ; синій сойці        ; сині сойки     ; синіх сойок      ; синім сойкам     ; синіх сойок      ; синіми сойками     ; синіх сойках     ;
кенгуру         ; кенгуру          ; кенгуру            ; кенгуру          ; кенгуру          ; кенгуру            ; кенгуру        ; кенгуру          ; кенгуру          ; кенгуру          ; кенгуру            ; кенгуру          ;
коала           ; коали            ; коалі              ; коалу            ; коалою           ; коалі              ; коали          ; коал             ; коалам           ; коал             ; коалами            ; коалах           ;
комодо          ; комодо           ; комодо             ; комодо           ; комодо           ; комодо             ; комодо         ; комодо           ; комодо           ; комодо           ; комодо             ; комодо           ;
лемур           ; лемура           ; лемуру             ; лемура           ; лемуром          ; лемурі             ; лемури         ; лемурів          ; лемурам          ; лемурів          ; лемурами           ; лемурах          ;
леопард         ; леопарда         ; леопарду           ; леопарда         ; леопардом        ; леопарді           ; леопарди       ; леопардів        ; леопардам        ; леопардів        ; леопардами         ; леопардах        ;
лев             ; лева             ; леву               ; лева             ; левом            ; леві               ; леви           ; левів            ; левам            ; левів            ; левами             ; левах            ;
лама            ; лами             ; ламі               ; ламу             ; ламою            ; ламі               ; лами           ; лам              ; ламам            ; лам              ; ламами             ; ламах            ;
лобстер         ; лобстера         ; лобстеру           ; лобстера         ; лобстером        ; лобстері           ; лобстери       ; лобстерів        ; лобстерам        ; лобстерів        ; лобстерами         ; лобстерах        ;
сарана          ; сарани           ; сарані             ; сарану           ; сараною          ; сарані             ; сарани         ; саран            ; саранам          ; саран            ; саранами           ; саранах          ;
лірохвіст       ; лірохвоста       ; лірохвосту         ; лірохвоста       ; лірохвостом      ; лірохвості         ; лірохвости     ; лірохвостів      ; лірохвостам      ; лірохвостів      ; лірохвостами       ; лірохвостах      ;
сорока          ; сороки           ; сороці             ; сороку           ; сорокою          ; сороці             ; сороки         ; сорок            ; сорокам          ; сорок            ; сороками           ; сороках          ;
крижень         ; крижня           ; крижню             ; крижня           ; крижнем          ; крижні             ; крижні         ; крижнів          ; крижням          ; крижнів          ; крижнями           ; крижнях          ;
качка           ; качки            ; качці              ; качку            ; качкою           ; качці              ; качки          ; качок            ; качкам           ; качок            ; качками            ; качках           ;
ламантина       ; ламантини        ; ламантині          ; ламантину        ; ламантиною       ; ламантині          ; ламантини      ; ламантин         ; ламантинам       ; ламантин         ; ламантинами        ; ламантинах       ;
мандрил         ; мандрила         ; мандрилу           ; мандрила         ; мандрилом        ; мандрилі           ; мандрили       ; мандрилів        ; мандрилам        ; мандрилів        ; мандрилами         ; мандрилах        ;
богомол         ; богомола         ; богомолу           ; богомола         ; богомолом        ; богомолі           ; богомоли       ; богомолів        ; богомолам        ; богомолів        ; богомолами         ; богомолах        ;
сурикат         ; суриката         ; сурикату           ; суриката         ; сурикатом        ; сурикаті           ; сурикати       ; сурикатів        ; сурикатам        ; сурикатів        ; сурикатами         ; сурикатах        ;
норка           ; норки            ; норці              ; норку            ; норкою           ; норці              ; норки          ; норок            ; норкам           ; норок            ; норками            ; норках           ;
моль            ; молі             ; молі               ; моль             ; міллю            ; молі               ; молі           ; молей            ; молям            ; молей            ; молями             ; молях            ;
мангуст         ; мангуста         ; мангусту           ; мангуста         ; мангустом        ; мангусті           ; мангусти       ; мангустів        ; мангустам        ; мангустів        ; мангустами         ; мангустах        ;
миша            ; миші             ; миші               ; мишу             ; мишею            ; миші               ; миші           ; мишей            ; мишам            ; мишей            ; мишами             ; мишах            ;
москіт          ; москіта          ; москіту            ; москіта          ; москітом         ; москіті            ; москіти        ; москітів         ; москітам         ; москітів         ; москітами          ; москітах         ;
мул             ; мула             ; мулові             ; мула             ; мулом            ; мулові             ; мули           ; мулів            ; мулам            ; мулів            ; мулами             ; мулах            ;
нарвал          ; нарвала          ; нарвалу            ; нарвала          ; нарвалом         ; нарвалі            ; нарвали        ; нарвалів         ; нарвалам         ; нарвалів         ; нарвалами          ; нарвалах         ;
тритон          ; тритона          ; тритону            ; тритона          ; тритоном         ; тритоні            ; тритони        ; тритонів         ; тритонам         ; тритонів         ; тритонами          ; тритонах         ;
восьминіг       ; восьминога       ; восьминогу         ; восьминога       ; восьминогом      ; восьминозі         ; восьминоги     ; восьминогів      ; восьминогам      ; восьминогів      ; восьминогами       ; восьминогах      ;
окапі           ; окапі            ; окапі              ; окапі            ; окапі            ; окапі              ; окапі          ; окапі            ; окапі            ; окапі            ; окапі              ; окапі            ;
опосум          ; опосума          ; опосуму            ; опосума          ; опосумом         ; опосумі            ; опосуми        ; опосумів         ; опосумам         ; опосумів         ; опосумами          ; опосумах         ;
страус          ; страуса          ; страусу            ; страуса          ; страусом         ; страусі            ; страуси        ; страусів         ; страусам         ; страусів         ; страусами          ; страусах         ;
видра           ; видри            ; видрі              ; видру            ; видрою           ; видрі              ; видри          ; видр             ; видрам           ; видр             ; видрами            ; видрах           ;
сова            ; сови             ; сові               ; сову             ; совою            ; сові               ; сови           ; сов              ; совам            ; сов              ; совами             ; совах            ;
устриця         ; устриці          ; устриці            ; устрицю          ; устрицею         ; устриці            ; устриці        ; устриць          ; устрицям         ; устриць          ; устрицями          ; устрицях         ;
пантера         ; пантери          ; пантері            ; пантеру          ; пантерою         ; пантері            ; пантери        ; пантер           ; пантерам         ; пантер           ; пантерами          ; пантерах         ;
папуга          ; папуги           ; папузі             ; папугу           ; папугою          ; папузі             ; папуги         ; папуг            ; папугам          ; папуг            ; папугами           ; папугах          ;
куріпка         ; куріпки          ; куріпці            ; куріпку          ; куріпкою         ; куріпці            ; куріпки        ; куріпок          ; куріпкам         ; куріпок          ; куріпками          ; куріпках         ;
пелікан         ; пелікана         ; пелікану           ; пелікана         ; пеліканом        ; пелікані           ; пелікани       ; пеліканів        ; пеліканам        ; пеліканів        ; пеліканами         ; пеліканах        ;
пінгвін         ; пінгвіна         ; пінгвіну           ; пінгвіна         ; пінгвіном        ; пінгвіні           ; пінгвіни       ; пінгвінів        ; пінгвінам        ; пінгвінів        ; пінгвінами         ; пінгвінах        ;
фазан           ; фазана           ; фазану             ; фазана           ; фазаном          ; фазані             ; фазани         ; фазанів          ; фазанам          ; фазанів          ; фазанами           ; фазанах          ;
порося          ; поросяти         ; поросяті           ; порося           ; поросям          ; поросяті           ; поросята       ; поросят          ; поросятам        ; поросят          ; поросятами         ; поросятах        ;
голуб           ; голуба           ; голубу             ; голуба           ; голубом          ; голубі             ; голуби         ; голубів          ; голубам          ; голубів          ; голубами           ; голубах          ;
дикобраз        ; дикобраза        ; дикобразу          ; дикобраза        ; дикобразом       ; дикобразі          ; дикобрази      ; дикобразів       ; дикобразам       ; дикобразів       ; дикобразами        ; дикобразах       ;
морська свиня   ; морської свині   ; морській свині     ; морську свиню    ; морською свинею  ; морській свині     ; морські свині  ; морських свиней  ; морським свиням  ; морських свиней  ; морськими свинями  ; морських свинях  ;
перепілка       ; перепілки        ; перепілці          ; перепілку        ; перепілкою       ; перепілці          ; перепілки      ; перепілок        ; перепілкам       ; перепілок        ; перепілками        ; перепілках       ;
кролик          ; кролика          ; кролику            ; кролика          ; кроликом         ; кролику            ; кролики        ; кроликів         ; кроликам         ; кроликів         ; кроликами          ; кроликах         ;
єнот            ; єнота            ; єноту              ; єнота            ; єнотом           ; єноті              ; єноти          ; єнотів           ; єнотам           ; єнотів           ; єнотами            ; єнотах           ;
баран           ; барана           ; барану             ; барана           ; бараном          ; барані             ; барани         ; баранів          ; баранам          ; баранів          ; баранами           ; баранах          ;
щур             ; щура             ; щуру               ; щура             ; щуром            ; щурі               ; щури           ; щурів            ; щурам            ; щурів            ; щурами             ; щурах            ;
крук            ; крука            ; крукові            ; крука            ; круком           ; крукові            ; круки          ; круків           ; крукам           ; круків           ; круками            ; круках           ;
північний олень ; північного оленя ; північному оленю   ; північного оленя ; північним оленем ; північному оленю   ; північні олені ; північних оленів ; північним оленям ; північних оленів ; північними оленями ; північних оленях ;
носоріг         ; носорога         ; носорогу           ; носорога         ; носорогом        ; носорозі           ; носороги       ; носорогів        ; носорогам        ; носорогів        ; носорогами         ; носорогах        ;
саламандра      ; саламандри       ; саламандрі         ; саламандру       ; саламандрою      ; саламандрі         ; саламандри     ; саламандр        ; саламандрам      ; саламандр        ; саламандрами       ; саламандрах      ;
лосось          ; лосося           ; лососеві           ; лосося           ; лососем          ; лососеві           ; лососі         ; лососів          ; лососям          ; лососів          ; лососями           ; лососях          ;
сардина         ; сардини          ; сардині            ; сардину          ; сардиною         ; сардині            ; сардини        ; сардин           ; сардинам         ; сардин           ; сардинами          ; сардинах         ;
скорпіон        ; скорпіона        ; скорпіонові        ; скорпіона        ; скорпіоном       ; скорпіонові        ; скорпіони      ; скорпіонів       ; скорпіонам       ; скорпіонів       ; скорпіонами        ; скорпіонах       ;
