// {lookup: {термін, ключове слово}; Case; 1-7}
// {lookup: {термін}; Case; 3} -> 3-давальний (кому? чому?)
// {lookup: {PAWN_labelShort}; Case; 3}
// {lookup: {0_labelShort}; Case; 1}
// Case:
// 1-називний (хто? що?)
// 2-родовий (кого? чого?)
// 3-давальний (кому? чому?)
// 4-знахідний (кого? що?)
// 5-орудний (ким? чим?)
// 6-місцевий (на кому? на чому?)
// 7-кличний


// Це список категорій які є у файлі (для пошуку)
// Body, FactionDef, HeadiffDef, Headiff_BodyParts, OrderedTakeGroupDef, ... , RoomRoles

// Body

голова; голови; голові; голову; головою;
права плечова кістка; правої плечової кістки; правій плечовій кістці; праву плечову кістку; правою плечовою кісткою;
права променева кістка; правої променевої кістки; правій променевій кістці; праву променеву кістку; правою променевою кісткою;
права долоня; правої долоні; правій долоні; праву долоню; правою долонею;
правий кулак; правого кулака; правому кулаку; правий кулак; правим кулаком;
мізинець правої руки; мізинця правої руки; мізинцю правої руки; мізинець правої руки; мізинцем правої руки;
підмізинний палець правої руки; підмізинного пальця правої руки; підмізинному пальцю правої руки; підмізинний палець правої руки; підмізинним пальцем правої руки;
середній палець правої руки; середнього пальця правої руки; середньому пальцю правої руки; середній палець правої руки; середнім пальцем правої руки;
вказівний палець правої руки; вказівного пальця правої руки; вказівному пальцю правої руки; вказівний палець правої руки; вказівним пальцем правої руки;
великий палець правої руки; великого пальця правої руки; великому пальців правої руки; великий палець правої руки; великим пальцем правої руки;

кулак; кулака; кулаку; кулак; кулаком;
руки; рук; рукам; руки; руками;
рука; руки; руці; руку; рукою;
ключиця; ключиці; ключиці; ключицю; ключицею;
палець; пальця; пальцю; палець; пальцем;
долоня; долоні; долоні; долоню; долонею;
плечова кістка; плечової кістки; плечовій кістці; плечову кістку; плечовою кісткою;
таз; таза; тазу; таз; тазом;
променева кістка; променевої кістки; променевій кістці; променеву кістку; променевою кісткою;
плече; плеча; плечу; плече; плечем;
стегно; стегна; стегну; стегно; стегном;
грудина; грудини; грудині; грудину; грудиною;
гомілка; гомілки; гомілці; гомілку; гомілкою;
палець ноги; пальця ноги; пальцю ноги; палець ноги; пальцем ноги;
тулуб; тулуба; тулубу; тулуб; тулубом;
нога; ноги; нозі; ногу; ногою;
плече; плеча; плечу; плече; плечем;

тіло; тіла; тілу; тіло; тілом;
шия; шиї; шию; шию; шиєю;
хребет; хребта; хребту; хребет; хребтом;
грудна клітина; грудної клітини; грудній клітині; грудну клітину; грудною клітиною;
легеня; легені; легені; легеню; легенею;
ліва легеня; лівої легені; лівій легені; ліву легеню; лівою легенею;
права легеня; правої легені; правій легені; праву легеню; правою легенею;
серце; серця; серцю; серце; серцем;
нирка; нирки; нирці; нирку; ниркою;
ліва нирка; лівої нирки; лівій нирці; ліву нирку; лівою ниркою;
права нирка; правої нирки; правій нирці; праву нирку; правою ниркою;
печінка; печінки; печінці; печінку; печінкою;
шлунок; шлунка; шлунку; шлунок; шлунком;

талія; талії; талію; талію; талією;
нога; ноги; нозі; ногу; ногою;
стопа; стопи; стопі; стопу; стопою;
ступня; ступні; ступні; ступню; ступнею;
ліва нога; лівої ноги; лівій нозі; ліву ногу; лівою ногою;
ліве стегно; лівого стегна; лівому стегну; ліве стегно; лівим стегном;
ліва гомілка; лівої гомілки; лівій гомілці; ліву гомілку; лівою гомілкою;
ліва ступня; лівої ступні; лівій ступні; ліву ступню; лівою ступнею;
мізинець лівої ноги; мізинця лівої ноги; мізинцю лівої ноги; мізинець лівої ноги; мізинцем лівої ноги;
четвертий палець лівої ноги; четвертого пальця лівої ноги; четвертому пальцю лівої ноги; четвертий палець лівої ноги; четвертим пальцем лівої ноги;
середній палець лівої ноги; середнього пальця лівої ноги; середньому пальцю лівої ноги; середній палець лівої ноги; середнім пальцем лівої ноги;
другий палець лівої ноги; другого пальця лівої ноги; другому пальцю лівої ноги; другий палець лівої ноги; другим пальцем лівої ноги;
великий палець лівої ноги; великого пальця лівої ноги; великому пальців лівої ноги; великий палець лівої ноги; великим пальцем лівої ноги;
права нога; правої ноги; правій нозі; праву ногу; правою ногою;
праве стегно; правого стегна; правому стегну; праве стегно; правим стегном;
права гомілка; правої гомілки; правій гомілці; праву гомілку; правою гомілкою;
права ступня; правої ступні; правій ступні; праву ступню; правою ступнею;
мізинець правої ноги; мізинця правої ноги; мізинцю правої ноги; мізинець правої ноги; мізинцем правої ноги;
четвертий палець правої ноги; четвертого пальця правої ноги; четвертому пальцю правої ноги; четвертий палець правої ноги; четвертим пальцем правої ноги;
середній палець правої ноги; середнього пальця правої ноги; середньому пальцю правої ноги; середній палець правої ноги; середнім пальцем правої ноги;
другий палець правої ноги; другого пальця правої ноги; другому пальцю правої ноги; другий палець правої ноги; другим пальцем правої ноги;
великий палець правої ноги; великого пальця правої ноги; великому пальців правої ноги; великий палець правої ноги; великим пальцем правої ноги;

лапа; лапи; лапі; лапу; лапою;
передня ліва лапа; передньої лівої лапи; передній лівій лапі; передню ліву лапу; передньою лівою лапою;
перший кіготь передньої лівої лапи; першого кігтя передньої лівої лапи; першому кігтю передньої лівої лапи; перший кіготь передньої лівої лапи; першим кігтем передньої лівої лапи;
другий кіготь передньої лівої лапи; другого кігтя передньої лівої лапи; другому кігтю передньої лівої лапи; другий кіготь передньої лівої лапи; другим кігтем передньої лівої лапи;
третій кіготь передньої лівої лапи; третього кігтя передньої лівої лапи; третьому кігтю передньої лівої лапи; третій кіготь передньої лівої лапи; третім кігтем передньої лівої лапи;
четвертий кіготь передньої лівої лапи; четвертого кігтя передньої лівої лапи; четвертому кігтю передньої лівої лапи; четвертий кіготь передньої лівої лапи; четвертим кігтем передньої лівої лапи;
п’ятий кіготь передньої лівої лапи; п'ятого кігтя передньої лівої лапи; п'ятому кігтю передньої лівої лапи; п'ятий кіготь передньої лівої лапи; п'ятим кігтем передньої лівої лапи;
передня права лапа; передньої правої лапи; передній правій лапі; передню праву лапу; передньою правою лапою;
перший кіготь передньої правої лапи; першого кігтя передньої правої лапи; першому кігтю передньої правої лапи; перший кіготь передньої правої лапи; першим кігтем передньої правої лапи;
другий кіготь передньої правої лапи; другого кігтя передньої правої лапи; другому кігтю передньої правої лапи; другий кіготь передньої правої лапи; другим кігтем передньої правої лапи;
третій кіготь передньої правої лапи; третього кігтя передньої правої лапи; третьому кігтю передньої правої лапи; третій кіготь передньої правої лапи; третім кігтем передньої правої лапи;
четвертий кіготь передньої правої лапи; четвертого кігтя передньої правої лапи; четвертому кігтю передньої правої лапи; четвертий кіготь передньої правої лапи; четвертим кігтем передньої правої лапи;
п’ятий кіготь передньої правої лапи; п'ятого кігтя передньої правої лапи; п'ятому кігтю передньої правої лапи; п'ятий кіготь передньої правої лапи; п'ятим кігтем передньої правої лапи;
задня ліва лапа; задньої лівої лапи; задній лівій лапі; задню ліву лапу; задньою лівою лапою;
перший кіготь задньої лівої лапи; першого кігтя задньої лівої лапи; першому кігтю задньої лівої лапи; перший кіготь задньої лівої лапи; першим кігтем задньої лівої лапи;
другий кіготь задньої лівої лапи; другого кігтя задньої лівої лапи; другому кігтю задньої лівої лапи; другий кіготь задньої лівої лапи; другим кігтем задньої лівої лапи;
третій кіготь задньої лівої лапи; третього кігтя задньої лівої лапи; третьому кігтю задньої лівої лапи; третій кіготь задньої лівої лапи; третім кігтем задньої лівої лапи;
четвертий кіготь задньої лівої лапи; четвертого кігтя задньої лівої лапи; четвертому кігтю задньої лівої лапи; четвертий кіготь задньої лівої лапи; четвертим кігтем задньої лівої лапи;
п’ятий кіготь задньої лівої лапи; п'ятого кігтя задньої лівої лапи; п'ятому кігтю задньої лівої лапи; п'ятий кіготь задньої лівої лапи; п'ятим кігтем задньої лівої лапи;
задня права лапа; задньої правої лапи; задній правій лапі; задню праву лапу; задньою правою лапою;
перший кіготь задньої правої лапи; першого кігтя задньої правої лапи; першому кігтю задньої правої лапи; перший кіготь задньої правої лапи; першим кігтем задньої правої лапи;
другий кіготь задньої правої лапи; другого кігтя задньої правої лапи; другому кігтю задньої правої лапи; другий кіготь задньої правої лапи; другим кігтем задньої правої лапи;
третій кіготь задньої правої лапи; третього кігтя задньої правої лапи; третьому кігтю задньої правої лапи; третій кіготь задньої правої лапи; третім кігтем задньої правої лапи;
четвертий кіготь задньої правої лапи; четвертого кігтя задньої правої лапи; четвертому кігтю задньої правої лапи; четвертий кіготь задньої правої лапи; четвертим кігтем задньої правої лапи;
п’ятий кіготь задньої правої лапи; п'ятого кігтя задньої правої лапи; п'ятому кігтю задньої правої лапи; п'ятий кіготь задньої правої лапи; п'ятим кігтем задньої правої лапи;
кігті; кігтів; кігтям; кігті; кігтями;
передні ліві кігті; передніх лівих кігтів; переднім лівим кігтям; передні ліві кігті; передніми лівими кігтями;
передні праві кігті; передніх правих кігтів; переднім правим кігтям; передні праві кігті; передніми правими кігтями;

передня ліва нога; передньої лівої ноги; передній лівій нозі; передню ліву ногу; передньою лівою ногою;
переднє ліве копито; переднього лівого копита; передньому лівому копиту; переднє ліве копито; переднім лівим копитом;
передня права нога; передньої правої ноги; передній правій нозі; передню праву ногу; передньою правою ногою;
переднє праве копито; переднього правого копита; передньому правому копиту; переднє праве копито; переднім правим копитом;
задня ліва нога; задньої лівої ноги; задній лівій нозі; задню ліву ногу; задньою лівою ногою;
заднє ліве копито; заднього лівого копита; задньому лівому копиту; заднє ліве копито; заднім лівим копитом;
задня права нога; задньої правої ноги; задній правій нозі; задню праву ногу; задньою правою ногою;
заднє праве копито; заднього правого копита; задньому правому копиту; заднє праве копито; заднім правим копитом;

лівий вусик; лівого вусика; лівому вусику; лівий вусик; лівим вусиком;
правий вусик; правого вусика; правому вусику; правий вусик; правим вусиком;
ліве надкрилля; лівого надкрилля; лівому надкриллю; ліве надкрилля; лівим надкриллям;
праве надкрилля; правого надкрилля; правому надкриллю; праве надкрилля; правим надкриллям;
передня ліва лапка; передньої лівої лапки; передній лівій лапці; передню ліву лапку; передньою лівою лапкою;
передня права лапка; передньої правої лапки; передній правій лапці; передню праву лапку; передньою правою лапкою;
середня ліва лапка; середньої лівої лапки; середній лівій лапці; середню ліву лапку; середньою лівою лапкою;
середня права лапка; середньої правої лапки; середній правій лапці; середню праву лапку; середньою правою лапкою;
задня ліва лапка; задньої лівої лапки; задній лівій лапці; задню ліву лапку; задньою лівою лапкою;
задня права лапка; задньої правої лапки; задній правій лапці; задню праву лапку; задньою правою лапкою;

реактор; реактора; реактору; реактор; реактором; 
датчик руху; датчика руху; датчику руху; датчик руху; датчиком руху;
хімічний аналізатор; хімічного аналізатора; хімічному аналізатору; хімічний аналізатор; хімічним аналізатором;
штучний мозок; штучного мозку; штучному мозку; штучний мозок; штучним мозком;
датчик звуку; датчика звуку; датчику звуку; датчик звуку; датчиком звуку;

лівий оптичний сенсор; лівого оптичного сенсора; лівому оптичному сенсору; лівий оптичний сенсор; лівим оптичним сенсором;
правий оптичний сенсор; правого оптичного сенсора; правому оптичному сенсору; правий оптичний сенсор; правим оптичним сенсором;
лівий звуковий сенсор; лівого звукового сенсора; лівому звуковому сенсору; лівий звуковий сенсор; лівим звуковим сенсором;
правий звуковий сенсор; правого звукового сенсора; правому звуковому сенсору; правий звуковий сенсор; правим звуковим сенсором;
праве механічне плече; правого механічного плеча; правому механічному плечу; праве механічне плече; правим механічним плечем;
лезо; леза; лезу; лезо; лезом;
ліве лезо; лівого леза; лівому лезу; ліве лезо; лівим лезом;
праве лезо; правого леза; правому лезу; праве лезо; правим лезом;
кільце тіла; кільця тіла; кільцю тіла; кільце тіла;  кільцем тіла;
перше кільце тіла; першого кільця тіла; першому кільцю тіла; перше кільце тіла; першим кільцем тіла;
друге кільце тіла; другого кільця тіла; другому кільцю тіла; друге кільце тіла; другим кільцем тіла;
третє кільце тіла; третього кільця тіла; третьому кільцю тіла; третє кільце тіла; третім кільцем тіла;
четверте кільце тіла; четвертого кільця тіла; четвертому кільцю тіла; четверте кільце тіла; четвертим кільцем тіла;
п’яте кільце тіла; п'ятого кільця тіла; п'ятому кільцю тіла; п'яте кільце тіла; п'яти кільцем тіла;
шосте кільце тіла; шостого кільця тіла; шостому кільцю тіла; шосте кільце тіла; шостим кільцем тіла;

паща; пащі; пащі; пащу; пащею;
вусик; вусика; вусику; вусик; вусиком;
дзьоб; дзьоба; дзьобу; дзьоб; дзьобом;
надкрила; надкрилля; надкриллям; надурила; надкрилами;
передній кіготь; переднього кігтя; передньому кігтю; передній кіготь; переднім кігтем;
задній кіготь; заднього кігтя; задньому кігтю; задній кіготь; заднім кігтем;
щелепи; щелеп; щелепам; щелепи; щелепами;
копито; копита; копиту; копито; копитом;
ріг; рога; рогу; ріг; рогом;
горб; горба; горбу; горб; горбом;
щелепа; щелепи; щелепі; щелепу; щелепою;
лапа; лапи; лапі; лапу; лапою;
пластрон; пластрона; пластрону; пластрон; пластроном;
передньоспинка; передньоспинки; передньоспинці; передньоспинку; передньоспинкою;
панцир; панцира; панциру; панцир; панциром;
хвіст; хвоста; хвосту; хвіст; хвостом;
хобот; хобота; хоботу; хобот; хоботом;
бивень; бивня; бивню; бивень; бивнем;
бивні; бивнів; бивням; бивні; бивнями;

// FactionDef

древній; древнього; древньому; древнього; древнім;
древні; древніх; древнім; древніх; древніми;
комаха; комахи; комасі; комаху; комахою;
комахи; комах; комахами; комах; комахами;
механоїд; механоїду; механоїду; механоїда; механоїдом;
механоїди; механоїдів; механоїдам; механоїдів; мехоноїдами;
верховний радник; верховного радника; верховному раднику; верховного радника; верховним радником;
чужинець; чужинця; чужинцю; чужинця; чужинцем;
чужинці; чужинців; чужинцям; чужинців; чужинцями;
ватажок; ватажка; ватажку; ватажка; ватажком;
пірат; пірата; пірату; пірата; піратом;
пірати; піратів; піратам; піратів; піратами;
вождь; вождя; вождю; вождя; вождем;
абориген; аборигена; аборигену; аборигена; аборигеном;
аборигени; аборигенів; аборигенам; аборигенів; аборигенами;
колоніст; колоніста; колоністу; колоніста; колоністом;
колоністи; колоністів; колоністам; колоністів; колоністами;

// HeadiffDef

алкоголізм; алкоголізму; алкоголізму; алкоголізм; алкоголізмом;
алкогольна ломка; алкогольної ломки; алкогольні ломці; алкогольну ломку; алкогольною ломкою;
ломка; ломки; ломці; ломку; ломкою;
алкоголь; алкоголю; алкоголю; алкоголь; алкоголем;
сп'яніння; сп'яніння; сп'янінню; сп'яніння; сп'янінням;
звикання до алкоголю; звикання до алкоголю; звиканню до алкоголю; звикання до алкоголю; звиканням до алкоголю;
похмілля; похмілля; похміллю; похмілля; похміллям;
залежність від амброзії; залежності від амброзії; залежності від амброзії; залежність від амброзії; залежністю від амброзії;
звикання до амброзії; звикання до амброзії; звиканню до амброзії; звикання до амброзії; звиканням до амброзії;
залежність від Go-соку; залежності від Go-соку; залежності від Go-соку; залежність від Go-соку; залежністю від Go-соку;
звикання до Go-соку; звикання до Go-соку; звикання до Go-соку; звиканню до Go-соку; звикання до Go-соку; звиканням до Go-соку;
недоїдання; недоїдання; недоїданню; недоїдання; недоїданням;
отруєння токсинами; отруєння токсинами; отруєнню токсинами; отруєння токсинами; отруєнням токсинами;
синдром воскресіння; синдрому воскресіння; синдрому воскресіння; синдром воскресіння; синдромом воскресіння;
психічний шок; психічного шоку; психічному шоку; психічний шок; психічним шоком;
психічне похмілля; психічного похмілля; психічному похміллю; психічне похмілля; посиланням похміллям;
психічна кома; психічної коми; психічну кому; психічну кому; психічною комою;
серцевий напад; серцевого нападу; серцевому нападу; серцевий напад; серцевим нападом;
харчове отруєння; харчового отруєння; харчовому отруєнню; харчове отруєння; харчовим отруєнням;
передозування; передозування; передозуванню; передозування; передозуванням;
криптосонна хвороба; криптосонної хвороби; криптосрнній хворобі; криптосонну хворобу; криптосонною хворобою;
ступор; ступору; ступору; ступор; ступором;
мозковий шок; мозкового шоку; мозковому шоку; мозковий шок; мозковим шоком;
втрата крові; втрати крові; втраті крові; втрату крові; втратою крові;
наркоз; наркозу; наркозу; наркоз; наркозом;
уповільнення метаболізму; уповільнення метаболізму; уповільненню метаболізму; уповільнення метаболізму; уповільненням метаболізму;
гіпотермія; гіпотермії; гіпотермії; гіпотермію; гіпотермією;
тепловий удар; теплового удару; тепловому удару; тепловий удар; тепловим ударом;
хвороба Альцгеймера; хвороби Альцгеймера; хворобі Альцгеймера; хворобу Альцгеймера; хворобою Альцгеймера;
астма; астми; астмі; астму; астмою;
хвора спина; хворої спини; хворій спині; хвору спину; хворою спиною;
сліпота; сліпоти; сліпоті; сліпоту; сліпотою;
рак; рака; раку; рак; раком;
катаракта; катаракти; катаракті; катаракту; катарактою;
деменція; деменції; деменції; деменцію; деменцією;
слабкість; слабкості; слабкості; слабкість; слабкістю;
втрата слуху; втрати слуху; втраті слуху; втрату слуху; втратою слуху;
атеросклероз; атеросклерозу; атеросклерозу; атеросклероз; атеросклерозом;
грип; грипу; грипу; грип; грипом;
чума; чуми; чумі; чуму; чумою;
волоконні механіти; волоконних механітів; волоконним механітам; волоконних механітів; волоконними механітами;
сенсорні механіти; сенсорних механітів; сенсорним механітам; сенсорних механітів; сенсорними механітами;
кишкові паразити; кишкових паразитів; кишковим паразитами; кишкових паразитів; кишковими паразитами;
м’язові паразити; м'язових паразитів; м'язовим паразитами; м'язових паразитів; м'язовими паразитами;
легенева гниль; легеневої гнилі; легеневій гнилі; легеневу гниль; легеневою гниллю; 
отруєння трупним газом; отруєння трупним газом; отруєнню трупним газом; отруєння трупними газом; отруєнням трупним газом;
малярія; малярії; малярії; малярію; малярією;
сонна хвороба; сонної хвороби; сонній хворобі; сонну хворобу; сонною хворобою;
інфекція; інфекції; інфекції; інфекцію; інфекцією;
укус; укусу; укусу; укус; укусом;
рубець від укусу; рубця від укусу; рубцю від укусу; рубець від укусу; рубцем від укусу;
забій; забою; забою; забій; забоєм;
опік; опік; опіку; опік; опіком;
рубець від опіку; рубця від опіку; рубцю від опіку; рубець від опіку; рубцем від опіку;
хімічний опік; хімічного опіку; хімічному опіку; хімічний опік; хімічним опіком;
тріщина; тріщини; товщині; тріщину; тріщиною;
невиліковна тріщина; невиліковної тріщини; невиліковній тріщині; невиліковну тріщину; невиліковною тріщиною;
розтрощена рана; розтрощеної рани; розтрощеній ранні; розтрощену рану; розтрощеною раною;
рубець; рубця; рубцю; рубець; рубцем;
рубець від порізу; рубця від порізу; рубцю від прорізу; рубцем від прорізу;
поріз; порізу; порізу; поріз; порізом;
розріз; розрізу; розрізу; розріз; розрізом;
обмороження; обмороження; обмороженню; обмороження; обмороженням;
рубець від обмороження; рубця від обмороження; рубцю від обмороження; рубець від обмороження; рубцем від обмороження;
вогнепальне поранення; вогнепального поранення; вогнепальному пораненню; вогнепальне поранення; вогнепальним пораненням;
рубець від кулі; рубця від кулі; рубцю від кулі; рубець від кулі; рубцем від кулі;
рвана рана; рваної рани; ранній рані; рвану рану; рваною раною; 
рубець від рваної рани; рубця від рваної рани; рубцю від рваної рани; рубець від рваної рани; рубцем від рваної рани;
вибухова травма; вибухової травми; вибуховій травмі; вибухову травму; вибуховою травмою;
колота рана; колотої рани; колотій рані; колоту рану; колотою раною; 
рубець від колотої рани; рубця від колотої рани; рубцю від колотої рани; рубець від колотої рани; рубцем від колотої рани;
хірургічний поріз; хірургічного порізу; хірургічному порізу; хірургічний поріз; хірургічним порізом;
рубець від порізу; рубець від порізу; рубця від порізу; рубцю від порізу; рубець від порізу; рубцем від порізу;
скаріоз; скаріозу; скаріозу; скаріоз; скаріозом;
стерилізація; стерилізації; стерилізації; стерилізацію; стерилізацією;
синдром Саванта; синдрому Саванта; синдрому Саванта; синдромом Саванта;
земля; землі; землі; землю; землею;
гравій; гравію; гравію; гравій; гравієм;
мул; мулу; мулу; мул; мулом;
пісок; піску; піску; пісок; піском;
вода; води; воді; воду; водою;
пси-зв'язок; пси-зв'язку; пси-зв'язку; пси-зв'язок; пси-зв'язком;
дія люциферію; дії люциферію; дії люциферію; дію люциферію; дією люциферію;
дія пеноксициліну; дії пеноксициліну; дії пеноксициліну; дію пеноксициліну; дією пеноксициліну;
кайф від пластівців психіту; кайфу від пластівців психіту; кайфу від пластівців психіту; кайф від пластівців психіту; кайфом від пластівців психіту;
кайф від психітового чаю; кайфу від психітового чаю; кайфу від психітового чаю; кайф від психітового чаю; кайфом від психітового чаю;
кайф від порошка психіту; кайфу від порошка психіту; кайфу від порошка психіту; кайф від порошка психіту; кайфом від порошка психіту;
психітова залежність; психітової залежності; психітовій залежності; психітову залежність; психітовою залежністю;
звикання до психіту; звикання до психіту; звиканню до психіту; звикання до психіту; звиканням до психіту;
димолистова залежність; димолистової залежності; димолистовій залежності; димолистову залежність; жимолистовою залежністю;
звикання до димолисту; звикання до димолисту; звиканню до димолисту; звикання до димолисту; звиканням до димолисту;
бадьоринова залежність; бадьоинової залежності; бадьориновій залежності; бадьоринову залежність; бадьориновою залежністю;
звикання до бадьорину; звикання до бадьорину; звиканню до бадьорину; звикання до бадьорину; звиканням до бадьорину;
відсутня частина тіла; відсутньої частина тіла; відсутній частині тіла; відсутню частину тіла; відсутньою частиною тіла; 

// Headiff_BodyParts

архотехнічна рука: архотехнічної руки; архотехнічній руці; архотехнічну руку; архотехнічною рукою;
архотехнічне око; архотехнічного ока; архотехнічному оку; архотехнічне око; архотехнічним оком;
архотехнічна нога; архотехнічної ноги; архотехнічній нозі; архотехнічну ногу; архотехнічною ногою;
біонічна рука; біонічної руки; біонічній руці; біонічну руку; біонічною рукою;
біонічне вухо; біонічного вуха; біонічному вуху; біонічне вухо; біонічним вухом;
біонічне око; біонічного ока; біонічному оку; біонічне око; біонічним оком;
